,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,atuona,PF,1586640665,64,68,-9.8,-139.03,82.8,7.47
1,rio cuarto,AR,1586640944,45,46,-33.13,-64.35,73.4,16.11
2,chuy,UY,1586640652,33,66,-33.7,-53.46,65.95,7.0
3,bethel,US,1586640656,20,25,41.37,-73.41,55.4,8.05
4,parsabad,IR,1586640960,75,81,39.65,47.92,51.8,4.7
5,hofn,IS,1586640697,92,79,64.25,-15.21,37.26,20.11
6,kutum,SD,1586640687,9,15,14.2,24.67,69.69,9.73
7,soldotna,US,1586640960,1,34,60.49,-151.06,37.4,8.05
8,bluff,NZ,1586640656,100,65,-46.6,168.33,57.0,4.0
9,ushuaia,AR,1586640414,75,75,-54.8,-68.3,42.8,26.4
10,haines junction,CA,1586640702,0,63,60.75,-137.51,33.39,1.68
11,clovis,US,1586640961,75,52,36.83,-119.7,72.0,3.13
12,busselton,AU,1586640655,96,68,-33.65,115.33,71.01,8.14
13,hobart,AU,1586640659,75,62,-42.88,147.33,51.8,9.17
14,salalah,OM,1586640677,40,74,17.02,54.09,82.4,9.17
15,noumea,NC,1586640897,31,73,-22.28,166.46,75.99,3.36
16,mahebourg,MU,1586640653,40,83,-20.41,57.7,77.0,11.41
17,beloha,MG,1586640656,89,72,-25.17,45.05,73.58,10.85
18,chepareria,KE,1586640961,16,39,1.31,35.2,65.1,2.06
19,emerald,AU,1586640676,0,45,-23.53,148.17,68.0,5.44
20,pangnirtung,CA,1586640962,100,89,66.15,-65.71,26.82,3.42
21,piacenza,IT,1586640962,0,25,45.05,9.7,64.0,5.82
22,pochutla,MX,1586640703,75,49,15.74,-96.47,93.99,14.99
23,linhares,BR,1586640962,3,88,-19.39,-40.07,74.93,4.63
24,katsuura,JP,1586640685,75,93,35.13,140.3,50.0,13.87
25,hithadhoo,MV,1586640674,0,65,-0.6,73.08,84.56,6.38
26,port alfred,ZA,1586640670,77,91,-33.59,26.89,68.0,5.23
27,varkkallai,IN,1586640963,20,78,8.73,76.71,82.4,3.36
28,dingle,PH,1586640659,10,78,11.0,122.67,76.33,5.44
29,shingu,JP,1586640963,100,63,33.73,135.98,50.92,6.67
30,jamestown,US,1586640652,1,48,42.1,-79.24,48.0,14.99
31,port elizabeth,ZA,1586640673,89,63,-33.92,25.57,62.6,6.93
32,pisco,PE,1586640705,0,30,-13.7,-76.22,75.0,5.82
33,ukiah,US,1586640781,1,56,39.15,-123.21,70.0,4.9
34,mar del plata,AR,1586640575,37,60,-38.0,-57.56,68.0,9.17
35,albany,US,1586640500,75,34,42.6,-73.97,50.0,14.99
36,kushima,JP,1586640964,90,87,31.46,131.23,53.6,4.7
37,itarema,BR,1586640688,100,84,-2.92,-39.92,80.35,6.38
38,amroha,IN,1586640964,0,27,28.92,78.47,77.47,7.52
39,cape town,ZA,1586640649,75,93,-33.93,18.42,64.99,19.46
40,kumluca,TR,1586640964,0,46,36.37,30.29,61.56,5.3
41,butaritari,KI,1586640655,95,76,3.07,172.79,83.98,13.35
42,svobodnyy,RU,1586640964,0,84,51.4,128.13,37.76,7.83
43,castro,BR,1586640673,13,66,-24.79,-50.01,60.94,2.33
44,mataura,NZ,1586640666,100,65,-46.19,168.86,57.0,4.0
45,vestmanna,FO,1586640675,100,93,62.16,-7.17,44.6,17.22
46,new norfolk,AU,1586640654,75,62,-42.78,147.06,51.8,9.17
